almaMmsId	rpbId	hbzId	zdbId
990118008780206441	RPB036t041057	HT013476920	2090763-1
990132920460206441	RPB036t041067	HT014161242	2151398-3
990129086740206441	RPB036t041092	HT014039107	2147092-3
990125317770206441	RPB036t041121	HT013984559	2141831-7
990107440550206441	RPB036t041266	HT012591502	1312699-4
990056252360206441	RPB036t041267	HT007193607	1308461-6
990113101020206441	RPB036t041268	HT012983038	2006756-2
990056511420206441	RPB036t041269	HT008492558	1427819-4
990132843630206441	RPB036t041296	HT014153493	2149655-9
990056425660206441	RPB036t041375	HT007719628	1396006-4
990119314000206441	RPB036t041376	HT013608648	2103639-1
990133027760206441	RPB036t041377	HT014172030	2159030-8
990113684970206441	RPB036t041378	HT013041611	2046537-3
990108646570206441	RPB107t982304	HT012712104	1472207-0
990133017230206441	RPB036t041518	HT014170977	2157900-3
990133417740206441	RPB036t041809	HT014211473	2168802-3
990133417620206441	RPB036t041810	HT014211461	2168789-4
990133419290206441	RPB036t041811	HT014211628	2168960-X
990133059060206441	RPB036t041812	HT014175160	2162428-8
990113691990206441	RPB036t050027	HT013042313	2047265-1
990133688150206441	RPB036t050143	HT014238824	2171992-5
990133922970206441	RPB036t050144	HT014262576	2174356-3
990124804530206441	RPB036t050145	HT013932667	2135580-0
990113928160206441	RPB036t050146	HT013066107	2049985-1
990113928080206441	RPB036t050147	HT013066099	2049976-0
990156119310206441	RPB036t050183	HT015020653	2273417-X
990056474960206441	RPB036t050312	HT008092691	1397835-4
990365906360206441	RPB036t050314	HT020397892	3011450-0
990106981820206441	RPB036t050341	HT012545629	1238391-0
990056519700206441	RPB036t050342	HT008597110	1425862-6
990133417320206441	RPB036t050344	HT014211431	2168757-2
990134220710206441	RPB036t050345	HT014292752	2178473-5
990132843670206441	RPB036t050346	HT014153497	2149659-6
990132864010206441	RPB036t050347	HT014155544	2150400-3
990133074720206441	RPB036t050349	HT014176726	2164102-X
990113116120206441	RPB036t050350	HT012984548	2008336-1
990108057330206441	RPB036t050503	HT012653180	1396979-1
990132843570206441	RPB036t050527	HT014153487	2149649-3
990133554320206441	RPB036t050539	HT014225274	2170569-0
990133056460206441	RPB036t050540	HT014174900	2162144-5
990133555510206441	RPB036t050541	HT014225393	2170698-0
990104974860206441	RPB036t940114	HT012344933	917065-0
990104984330206441	RPB036t940115	HT012345880	918166-0
990104974400206441	RPB036t940148	HT012344887	917010-8
990106703390206441	RPB036t940172	HT012517786	1200965-9
990104997600206441	RPB036t940303	HT012347207	919756-4
990104997390206441	RPB036t940304	HT012347186	919722-9
990056139020206441	RPB036t940396	HT007066619	1201069-8
990101958650206441	RPB036t940455	HT012043312	31869-3
990170542840206441	RPB036t941197	HT015611722	2438194-9
990101851470206441	RPB036t941215	HT012032594	15709-0
990104955800206441	RPB036t941216	HT012343027	914591-6
990101940110206441	RPB036t941217	HT012041458	29400-7
990056523610206441	RPB036t941218	HT008610774	919083-1
990104973400206441	RPB036t941223	HT012344787	916879-5
990105008890206441	RPB036t941225	HT012348336	921100-7
990056156830206441	RPB036t941227	HT007068648	1211226-4
990105009040206441	RPB036t941336	HT012348351	921121-4
990056070520206441	RPB036t941337	HT007058655	1145215-8
990104967940206441	RPB036t941352	HT012344241	916153-3
990054664970206441	RPB036t941353	HT006889149	12468-0
990056240770206441	RPB036t950287	HT007192337	916272-0
990108119070206441	RPB036t950498	HT012659354	1405056-0
990107526400206441	RPB036t951128	HT012600087	1324990-3
990107406760206441	RPB036t951194	HT012588123	1308320-X
990056331660206441	RPB036t951202	HT007371678	1292119-1
990107443770206441	RPB036t951209	HT012591824	1313122-9
990101946960206441	RPB036t951210	HT012042143	30300-8
990107597560206441	RPB036t951211	HT012607203	1334507-2
990101964500206441	RPB036t951212	HT012043897	32676-8
990101970270206441	RPB036t951215	HT012044474	33440-6
990107332930206441	RPB036t951217	HT012580740	1295174-2
990055902630206441	RPB036t951218	HT007038785	1048861-3
990107597270206441	RPB036t951222	HT012607174	1334459-6
